policy,scale,seed,method,varsortability,time_s,shd,skeleton_precision,skeleton_recall,skeleton_f1,orientation_accuracy,n_shared_edges
increasing,raw,0,sortnregress,1.0,0.13,0,1.0,1.0,1.0,1.0,15
increasing,raw,0,NOTEARS,1.0,1.28,0,1.0,1.0,1.0,1.0,15
increasing,raw,0,PC,1.0,2.61,3,1.0,1.0,1.0,0.9,15
increasing,raw,0,GES,1.0,0.3,3,1.0,1.0,1.0,0.9,15
increasing,raw,0,DAG-GNN,1.0,6.06,8,1.0,0.4666666666666667,0.6363636363636364,1.0,7
increasing,std,0,sortnregress,0.5,0.07,20,0.5172413793103449,1.0,0.6818181818181819,0.6,15
increasing,std,0,NOTEARS,0.5,1.32,12,0.875,0.4666666666666667,0.608695652173913,0.5714285714285714,7
increasing,std,0,PC,0.5,0.16,3,1.0,1.0,1.0,0.9,15
increasing,std,0,GES,0.5,0.26,3,1.0,1.0,1.0,0.9,15
increasing,std,0,DAG-GNN,0.5,6.01,13,1.0,0.1333333333333333,0.2352941176470588,1.0,2
increasing,raw,1,sortnregress,1.0,0.06,1,0.9285714285714286,1.0,0.962962962962963,1.0,13
increasing,raw,1,NOTEARS,1.0,2.25,0,1.0,1.0,1.0,1.0,13
increasing,raw,1,PC,1.0,0.25,9,1.0,0.9230769230769232,0.96,0.6666666666666666,12
increasing,raw,1,GES,1.0,0.3,8,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.7083333333333334,12
increasing,raw,1,DAG-GNN,1.0,5.9,6,0.8888888888888888,0.6153846153846154,0.7272727272727274,1.0,8
increasing,std,1,sortnregress,0.5,0.09,17,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.4166666666666667,12
increasing,std,1,NOTEARS,0.5,3.1,6,1.0,0.7692307692307693,0.8695652173913044,0.7,10
increasing,std,1,PC,0.5,2.17,9,1.0,0.9230769230769232,0.96,0.6666666666666666,12
increasing,std,1,GES,0.5,0.38,8,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.7083333333333334,12
increasing,std,1,DAG-GNN,0.5,5.99,11,1.0,0.1538461538461538,0.2666666666666667,1.0,2
increasing,raw,2,sortnregress,1.0,0.05,0,1.0,1.0,1.0,1.0,15
increasing,raw,2,NOTEARS,1.0,1.57,0,1.0,1.0,1.0,1.0,15
increasing,raw,2,PC,1.0,0.17,6,1.0,0.9333333333333332,0.9655172413793104,0.8214285714285714,14
increasing,raw,2,GES,1.0,0.26,6,1.0,1.0,1.0,0.8,15
increasing,raw,2,DAG-GNN,1.0,5.65,6,1.0,0.6,0.7499999999999999,1.0,9
increasing,std,2,sortnregress,0.5,0.1,15,0.625,1.0,0.7692307692307693,0.6,15
increasing,std,2,NOTEARS,0.5,1.1,12,1.0,0.6666666666666666,0.8,0.3,10
increasing,std,2,PC,0.5,0.18,6,1.0,0.9333333333333332,0.9655172413793104,0.8214285714285714,14
increasing,std,2,GES,0.5,0.26,6,1.0,1.0,1.0,0.8,15
increasing,std,2,DAG-GNN,0.5,5.95,14,1.0,0.0666666666666666,0.125,1.0,1
equal,raw,0,sortnregress,1.0,0.05,0,1.0,1.0,1.0,1.0,15
equal,raw,0,NOTEARS,1.0,1.15,0,1.0,1.0,1.0,1.0,15
equal,raw,0,PC,1.0,0.14,3,1.0,1.0,1.0,0.9,15
equal,raw,0,GES,1.0,0.23,3,1.0,1.0,1.0,0.9,15
equal,raw,0,DAG-GNN,1.0,5.68,1,1.0,0.9333333333333332,0.9655172413793104,1.0,14
equal,std,0,sortnregress,0.5,0.05,23,0.46875,1.0,0.6382978723404256,0.6,15
equal,std,0,NOTEARS,0.5,1.34,12,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.4545454545454545,11
equal,std,0,PC,0.5,1.61,3,1.0,1.0,1.0,0.9,15
equal,std,0,GES,0.5,0.24,3,1.0,1.0,1.0,0.9,15
equal,std,0,DAG-GNN,0.5,5.85,13,1.0,0.1333333333333333,0.2352941176470588,1.0,2
equal,raw,1,sortnregress,1.0,0.07,1,0.9285714285714286,1.0,0.962962962962963,1.0,13
equal,raw,1,NOTEARS,1.0,5.47,0,1.0,1.0,1.0,1.0,13
equal,raw,1,PC,1.0,0.17,11,1.0,0.8461538461538461,0.9166666666666666,0.5909090909090909,11
equal,raw,1,GES,1.0,0.35,10,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5454545454545454,11
equal,raw,1,DAG-GNN,1.0,6.64,8,0.8,0.6153846153846154,0.6956521739130435,0.875,8
equal,std,1,sortnregress,0.5,0.05,14,0.6842105263157895,1.0,0.8125000000000001,0.3846153846153846,13
equal,std,1,NOTEARS,0.5,12.24,11,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.625,8
equal,std,1,PC,0.5,1.53,11,1.0,0.8461538461538461,0.9166666666666666,0.5909090909090909,11
equal,std,1,GES,0.5,0.27,10,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5454545454545454,11
equal,std,1,DAG-GNN,0.5,5.75,12,1.0,0.0769230769230769,0.1428571428571428,1.0,1
equal,raw,2,sortnregress,1.0,0.05,0,1.0,1.0,1.0,1.0,15
equal,raw,2,NOTEARS,1.0,1.88,0,1.0,1.0,1.0,1.0,15
equal,raw,2,PC,1.0,0.21,7,1.0,0.9333333333333332,0.9655172413793104,0.75,14
equal,raw,2,GES,1.0,0.61,6,1.0,0.9333333333333332,0.9655172413793104,0.8214285714285714,14
equal,raw,2,DAG-GNN,1.0,5.47,5,1.0,0.6666666666666666,0.8,1.0,10
equal,std,2,sortnregress,0.5,0.05,15,0.625,1.0,0.7692307692307693,0.6,15
equal,std,2,NOTEARS,0.5,2.3,12,0.9230769230769232,0.8,0.8571428571428571,0.3333333333333333,12
equal,std,2,PC,0.5,1.52,7,1.0,0.9333333333333332,0.9655172413793104,0.75,14
equal,std,2,GES,0.5,0.72,6,1.0,0.9333333333333332,0.9655172413793104,0.8214285714285714,14
equal,std,2,DAG-GNN,0.5,6.14,14,1.0,0.0666666666666666,0.125,1.0,1
random,raw,0,sortnregress,1.0,0.05,0,1.0,1.0,1.0,1.0,15
random,raw,0,NOTEARS,1.0,1.35,0,1.0,1.0,1.0,1.0,15
random,raw,0,PC,1.0,0.12,3,1.0,1.0,1.0,0.9,15
random,raw,0,GES,1.0,0.41,17,0.625,1.0,0.7692307692307693,0.5333333333333333,15
random,raw,0,DAG-GNN,1.0,5.52,3,0.9285714285714286,0.8666666666666667,0.896551724137931,1.0,13
random,std,0,sortnregress,0.5,0.06,22,0.4838709677419355,1.0,0.6521739130434783,0.6,15
random,std,0,NOTEARS,0.5,1.57,11,0.9285714285714286,0.8666666666666667,0.896551724137931,0.3846153846153846,13
random,std,0,PC,0.5,0.15,3,1.0,1.0,1.0,0.9,15
random,std,0,GES,0.5,0.39,17,0.625,1.0,0.7692307692307693,0.5333333333333333,15
random,std,0,DAG-GNN,0.5,5.58,13,1.0,0.2,0.3333333333333333,0.6666666666666666,3
random,raw,1,sortnregress,1.0,0.06,0,1.0,1.0,1.0,1.0,13
random,raw,1,NOTEARS,1.0,9.46,2,1.0,0.9230769230769232,0.96,0.9166666666666666,12
random,raw,1,PC,1.0,1.51,11,1.0,0.9230769230769232,0.96,0.5833333333333334,12
random,raw,1,GES,1.0,0.3,11,0.75,0.9230769230769232,0.8275862068965517,0.5833333333333334,12
random,raw,1,DAG-GNN,1.0,5.63,4,1.0,0.7692307692307693,0.8695652173913044,0.9,10
random,std,1,sortnregress,0.5,0.05,16,0.6190476190476191,1.0,0.7647058823529412,0.3846153846153846,13
