policy,scale,method,varsortability,shd,skeleton_f1,orientation_accuracy
equal,raw,DAG-GNN,1.0,4.667,0.82,0.958
equal,raw,GES,1.0,6.333,0.937,0.756
equal,raw,NOTEARS,1.0,0.0,1.0,1.0
equal,raw,PC,1.0,7.0,0.961,0.747
equal,raw,sortnregress,1.0,0.333,0.988,1.0
equal,std,DAG-GNN,0.5,13.0,0.168,1.0
equal,std,GES,0.5,6.333,0.937,0.756
equal,std,NOTEARS,0.5,11.667,0.77,0.471
equal,std,PC,0.5,7.0,0.961,0.747
equal,std,sortnregress,0.5,17.333,0.74,0.528
increasing,raw,DAG-GNN,1.0,6.667,0.705,1.0
increasing,raw,GES,1.0,5.667,0.974,0.803
increasing,raw,NOTEARS,1.0,0.0,1.0,1.0
increasing,raw,PC,1.0,6.0,0.975,0.796
increasing,raw,sortnregress,1.0,0.333,0.988,1.0
increasing,std,DAG-GNN,0.5,12.667,0.209,1.0
increasing,std,GES,0.5,5.667,0.974,0.803
increasing,std,NOTEARS,0.5,10.0,0.759,0.524
increasing,std,PC,0.5,6.0,0.975,0.796
increasing,std,sortnregress,0.5,17.333,0.719,0.539
random,raw,DAG-GNN,1.0,4.667,0.829,0.967
random,raw,GES,1.0,11.333,0.866,0.639
random,raw,NOTEARS,1.0,1.333,0.964,0.972
random,raw,PC,1.0,7.667,0.963,0.725
random,raw,sortnregress,1.0,0.0,1.0,1.0
random,std,DAG-GNN,0.5,13.333,0.237,0.389
random,std,GES,0.5,11.333,0.866,0.639
random,std,NOTEARS,0.5,11.667,0.734,0.503
random,std,PC,0.5,7.667,0.963,0.725
random,std,sortnregress,0.5,18.0,0.718,0.519
